id,shop_id,shop_name,is_mall,is_verified,follower_count,rating_star,rating_count,response_rate,location,total_products,total_sold,shop_url,crawled_at
2976,42877650,BÁCH HÓA ---GIÁ SỈ,0,0,3761,4.917693,20296,100.0,TP. Hồ Chí Minh,432,20689,https://shopee.vn/kimyen591,2026-03-19 13:31:24
2977,60610683,Galistore,0,0,248634,4.898543,215072,98.0,Hà Nội,310,219930,https://shopee.vn/galistore,2026-03-19 13:31:25
2978,13917650,CAMIKO,0,0,13672,4.940445,11120,100.0,TP. Hồ Chí Minh,300,11278,https://shopee.vn/camikovn,2026-03-19 13:31:27
2979,4485719,D&KSHOP,0,0,118432,4.780045,37955,90.0,TP. Hồ Chí Minh,280,40370,https://shopee.vn/dk_shop1,2026-03-19 13:31:29
2980,68159032,Tạp hóa sỉ & lẻ,0,0,50621,4.926559,75157,96.0,TP. Hồ Chí Minh,1251,76351,https://shopee.vn/taphoasile99,2026-03-19 13:31:30
2981,42225503,PHỤ LIỆU TÓC  ĐẠT PHƯƠNG,0,0,2563,4.884227,8618,93.0,TP. Hồ Chí Minh,886,8851,https://shopee.vn/myphamdatphuong,2026-03-19 13:31:32
2982,10073068,Moon Ngố Cosmetics,0,0,100010,4.961607,88651,97.0,Gia Lai,683,89373,https://shopee.vn/moonngo1911,2026-03-19 13:31:34
2983,70018276,Cocolux Highend,0,0,329490,4.931846,185624,98.0,Hà Nội,456,188526,https://shopee.vn/cocoshop,2026-03-19 13:31:36
2984,71981162,Cetaphil Baby Official Store,0,0,270560,4.925579,124021,100.0,TP. Hồ Chí Minh,84,126168,https://shopee.vn/cetaphil_vietnam,2026-03-19 13:31:37
2985,58158042,Myphamgiasi ,0,0,2597,4.929874,6699,100.0,Đồng Nai,69,6809,https://shopee.vn/vuthioanh85_.,2026-03-19 13:31:39
2986,29538542,9 House Shop Thailand,0,0,153975,4.922958,280344,97.0,TP. Hồ Chí Minh,1710,285440,https://shopee.vn/9houseshop,2026-03-19 13:31:41
2987,13230359,UMIHA - Top 1 Body Care VN,0,0,279576,4.915275,71211,100.0,Hà Nội,62,72533,https://shopee.vn/umiha,2026-03-19 13:31:44
2988,31020109,thecaringhair,0,0,76515,4.901155,27618,83.0,Hà Nội,26,28292,https://shopee.vn/thecaringhair,2026-03-19 13:31:45
2989,17130338,MrOkay - Ở đây giá tốt,0,0,1840,4.885483,3597,88.0,Hà Nội,133,3691,https://shopee.vn/mrokayvietnam,2026-03-19 13:31:47
2990,54926827,Francia Beauty,0,0,893178,4.891052,203109,100.0,TP. Hồ Chí Minh,99,208386,https://shopee.vn/franciabeauty_officialstore,2026-03-19 13:31:49
2991,7437004,hàng đức xách tay,0,0,923,4.929988,1648,94.0,Hà Nội,444,1673,https://shopee.vn/songsongnght,2026-03-19 13:31:51
2992,60791504,Men’s Hair Cosmetics,0,0,1600,4.76214,3695,90.0,Hà Nội,61,3927,https://shopee.vn/tomshop1409,2026-03-19 13:31:52
2993,49457192,CherryShop1009,0,0,13995,4.937138,6528,100.0,TP. Hồ Chí Minh,222,6618,https://shopee.vn/hanh_chery1009,2026-03-19 13:31:54
2994,75176681,Quyết Thắng Beauty,0,0,4122,4.876983,5058,100.0,Hà Nội,117,5187,https://shopee.vn/quyetthangbeauty,2026-03-19 13:31:55
2995,76920935,LỘT DA ~ THAY DA SINH HỌC,0,0,3159,4.763494,2694,96.0,Đồng Nai,19,2880,https://shopee.vn/lynh0088,2026-03-19 13:31:57
2996,77365841,Sắc Ngọc Khang Official Store,0,0,131156,4.930738,50347,100.0,TP. Hồ Chí Minh,139,51027,https://shopee.vn/sacngockhang_official,2026-03-19 13:31:59
2997,23252356,BA.Store2020,0,0,15193,4.93224,17435,100.0,Hà Nội,437,17700,https://shopee.vn/ba.store20,2026-03-19 13:32:01
2998,25859961,Mỹ phẩm tóc Lê Tuấn Tóc Việt,0,0,6925,4.895899,317,100.0,Bà Rịa - Vũng Tàu,164,325,https://shopee.vn/tocviet123,2026-03-19 13:32:03
2999,39232661,Unilever International,0,0,653676,4.918588,295570,100.0,TP. Hồ Chí Minh,135,301237,https://shopee.vn/unilever_international,2026-03-19 13:32:04
3000,77962081,Saigon wax - Sáp vuốt tóc nam,0,0,2815,4.89117,1926,100.0,TP. Hồ Chí Minh,243,1980,https://shopee.vn/saigonwax,2026-03-19 13:32:06
3001,72200206,shopimua,0,0,15138,4.881124,12806,91.0,TP. Hồ Chí Minh,250,13203,https://shopee.vn/shopimua,2026-03-19 13:32:07
3002,68887644,ACB GROUP,0,0,4416,4.96192,13582,83.0,TP. Hồ Chí Minh,44,13673,https://shopee.vn/acbgroup,2026-03-19 13:32:09
3003,16366940,Ritakwok,0,0,2397,4.911163,9847,89.0,TP. Hồ Chí Minh,434,10069,https://shopee.vn/ritakwok,2026-03-19 13:32:10
3004,80875833,Phấn Nụ Hoàng Cung Official,0,0,80830,4.897203,37439,98.0,TP. Hồ Chí Minh,133,38396,https://shopee.vn/phannuhoangcung_official,2026-03-19 13:32:12
3005,78546729,Kenvue Official Store,0,0,721600,4.917622,502634,100.0,TP. Hồ Chí Minh,206,512385,https://shopee.vn/kenvue_official_store,2026-03-19 13:32:13
3006,21714037,Hương Natural,0,0,10552,4.95997,16008,100.0,TP. Hồ Chí Minh,245,16142,https://shopee.vn/huongnatural,2026-03-19 13:32:15
3007,80966103,chuyenmyphamkimanh,0,0,926,4.901899,3544,0.0,TP. Hồ Chí Minh,483,3630,https://shopee.vn/chuyenmyphamkimanh,2026-03-19 13:32:17
3008,15046460,Hà My Cosmetics,0,0,77425,4.890183,74621,98.0,TP. Hồ Chí Minh,474,76675,https://shopee.vn/htshop135,2026-03-19 13:32:19
3009,83083094,Hiruscar Việt Nam,0,0,522859,4.903791,109351,100.0,Bình Dương,19,111914,https://shopee.vn/hiruscar_vietnam,2026-03-19 13:32:21
3010,35505498,shop_DucManh,0,0,1504,4.859907,4146,100.0,Hà Nội,220,4284,https://shopee.vn/shop_ducmanh,2026-03-19 13:32:23
3011,83432445,marie.japan,0,0,537567,4.944671,454899,95.0,TP. Hồ Chí Minh,1020,460185,https://shopee.vn/marie.japan,2026-03-19 13:32:25
3012,65616143,Mỹ Phẩm Thanh Lan - HCM,0,0,16289,4.925277,86885,96.0,TP. Hồ Chí Minh,2686,88364,https://shopee.vn/bichngoc9898,2026-03-19 13:32:27
3013,20780634,HẰNG THUẬN TÂY NGUYÊN 2015,0,0,66471,4.923149,58885,99.0,Kon Tum,146,59855,https://shopee.vn/hangthuantaynguyen,2026-03-19 13:32:29
3014,77523532,mybeautyhouse,0,0,518013,4.942395,331674,97.0,Thành phố Hồ Chí Minh,75,335851,https://shopee.vn/mybeautyhouse,2026-03-19 13:32:31
3015,16881022,phuongoanh32,0,0,358,4.902141,972,80.0,TP. Hồ Chí Minh,145,1000,https://shopee.vn/phuongoanh32,2026-03-19 13:32:33
3016,82297261,EUCERIN GIAN HÀNG CHÍNH HÃNG,0,0,380778,4.874804,187277,100.0,TP. Hồ Chí Minh,287,193417,https://shopee.vn/eucerin.officialstore,2026-03-19 13:32:35
3017,352130,Dao Thi Nhu Quynh Cosmetic,0,0,293786,4.914491,206859,100.0,Hà Nội,2313,211113,https://shopee.vn/daothinhuquynh,2026-03-19 13:32:36
3018,89960894,P&G Việt Nam,0,0,538273,4.900687,797478,100.0,TP. Hồ Chí Minh,623,817832,https://shopee.vn/pg_officialstorevn,2026-03-19 13:32:39
3019,428627,Mint Cosmetics,0,0,284893,4.946542,157218,100.0,Hà Nội,2708,159050,https://shopee.vn/mint07,2026-03-19 13:32:41
